,symbol,equity,test_year,price,lowT,highT,trades,in_days,t-val,p-val,exp_ret,volatility,years,sharpe,beat_pct
2280,ENTG,ENTEGRIS INC,2019,47.955,0.28125,0.68125,18,128,4.145721474,6.32e-05,98.22469198,0.17558626100000002,0.7890410959999999,6.890411246,81.74807013
1412,BLD,TOPBUILD CORP,2019,101.6575,0.3,0.74375,18,131,1.241180478,0.21664518300000002,104.1755157,0.19393750899999998,0.7890410959999999,6.627289268,106.4728699
1128,JBSS,SANFILIPPO JOHN B&SON,2019,95.82,0.39375,0.725,19,107,1.72723626,0.085987415,60.42899678,0.11344957300000001,0.7890410959999999,6.442100969,36.37653364
1277,TMHC,TAYLOR MORRISON HOME CORP,2019,27.4925,0.3875,0.525,20,135,3.916000742,0.00014476299999999998,86.2789384,0.188028477,0.7890410959999999,5.629284089,67.10077785
2389,FAF,FIRST AMERICAN FINANCIAL CP,2019,59.7675,0.36875,0.50625,24,150,3.041752023,0.0032590440000000004,52.03599565,0.112875396,0.791780822,5.512290923,28.66543013
922,PRFT,PERFICIENT INC,2019,38.21,0.33125,0.6125,30,131,1.430879742,0.154796298,69.27024833,0.160229654,0.7890410959999999,5.260600432,50.3886942
397,WRB,BERKLEY (W R) CORP,2019,70.6625,0.2125,0.675,17,102,3.222683448,0.001497909,38.42444031,0.086552121,0.7890410959999999,5.222014275,24.07756368
2245,EME,EMCOR GROUP INC,2019,88.0175,0.275,0.75625,12,107,2.494517621,0.013507739,51.05625391,0.11958390199999999,0.7890410959999999,5.118306862,30.689798200000002
271,APO,APOLLO GLOBAL MGMT INC,2019,39.8275,0.53125,0.65,27,77,2.385462666,0.018294014,70.31896591,0.167959352,0.7890410959999999,5.097633552,59.36847511
307,ACGL,ARCH CAPITAL GROUP LTD,2019,42.055,0.16875,0.725,11,125,1.179407198,0.240152693,42.86571033,0.10243908800000001,0.7890410959999999,4.961615255,29.74369622
1313,TER,TERADYNE INC,2019,60.6125,0.35,0.6375,16,134,1.012038572,0.313372914,88.91445832,0.222710372,0.7890410959999999,4.902633219,64.36608876
1466,TREX,TREX CO INC,2019,89.995,0.2625,0.6,19,123,2.097876103,0.037856492,94.97492601,0.242379832,0.7890410959999999,4.821668816,80.23894335
1349,TXN,TEXAS INSTRUMENTS INC,2019,130.3075,0.23125,0.475,21,149,2.253272382,0.026820289,69.59166435,0.175676096,0.7890410959999999,4.821246078,43.81755137
434,WCN,WASTE CONNECTIONS INC,2019,92.15,0.34375,0.725,16,96,2.3518202130000003,0.019809137,28.44314051,0.06805094,0.7890410959999999,4.782847988,12.414273
2370,FSS,FEDERAL SIGNAL CORP,2019,33.18,0.44375,0.6,22,131,1.733533143,0.085263751,81.62143871,0.212115451,0.791780822,4.694891376,65.38158544
904,PEP,PEPSICO INC,2019,137.0625,0.3,0.60625,17,125,1.8485460180000002,0.06652984299999999,33.14233684,0.08543485599999999,0.7890410959999999,4.506744766,11.89791614
1110,SAIA,SAIA INC,2019,96.7775,0.36875,0.71875,16,103,1.2843755479999999,0.20054382399999998,67.76220534,0.18386722,0.7890410959999999,4.480362723,59.76475693
1746,CTLT,CATALENT INC,2019,49.4425,0.3625,0.80625,13,97,2.204289959,0.028692865,57.41247459,0.159097777,0.7890410959999999,4.353444706,40.38153264
1541,UPS,UNITED PARCEL SERVICE INC,2019,118.1975,0.30625,0.5125,22,143,2.3122892790000003,0.022587789,61.11656248,0.170214955,0.7890410959999999,4.344903446,37.242395
1623,BRC,BRADY CORP,2019,55.2175,0.39375,0.7875,12,106,2.5588366419999997,0.01139674,36.42025061,0.100006709,0.7890410959999999,4.265474755,13.17295185
1936,CNS,COHEN & STEERS INC,2019,60.1125,0.39375,0.63125,23,113,0.967566495,0.334604766,49.13463081,0.141862121,0.7890410959999999,4.142847982,40.37690287
2382,FNF,FIDELITY NATL FINL FNF GROUP,2019,45.2375,0.44375,0.7,21,88,1.6335408569999998,0.104163481,36.26752064,0.10233416699999999,0.791780822,4.134005415,22.03737737
105,ALG,ALAMO GROUP INC,2019,119.3225,0.15625,0.79375,10,90,1.9059684209999999,0.058357303,42.61202653,0.122266957,0.7890410959999999,4.130701085,32.6513811
1650,CCMP,CABOT MICROELECTRONICS CORP,2019,145.995,0.23125,0.65,7,158,0.663387355,0.508977771,75.87025770000001,0.22478540100000002,0.7890410959999999,4.121932017,53.88234386
682,MTH,MERITAGE HOMES CORP,2019,74.68,0.28125,0.75,13,80,0.241255269,0.809770567,43.20085825,0.12493297,0.7890410959999999,4.102286822,28.34910404
130,AQN,ALGONQUIN POWER & UTIL CORP,2019,13.535,0.2125,0.6,11,161,-1.166218197,0.24708145199999998,27.84347492,0.078140707,0.7890410959999999,4.068012484,10.34911673
