symbol,equity,test_year,price,lowT,highT,trades,in_days,t-val,p-val,exp_ret,volatility,years,sharpe,beat_pct
ABT,ABBOTT LABORATORIES,2002,11.31489903,0.3125,0.79375,13,99,4.051458632,7.45E-05,30.83565131,0.147148427,0.994520548,1.869238105,24.33191652
ABT,ABBOTT LABORATORIES,2003,14.01596635,0.275,0.7375,20,100,-0.796165879,0.426894776,4.050213915,0.12056844,0.994520548,0.047485822,-0.523295866
ABT,ABBOTT LABORATORIES,2004,15.3725933,0.4125,0.6,38,128,1.56196872,0.1195992,15.53275646,0.103040817,0.997260274,1.171907324,9.077632081
ABT,ABBOTT LABORATORIES,2005,13.31264059,0.40625,0.65625,18,99,1.579805782,0.115950249,8.191177813,0.074593072,0.989041096,0.641070096,5.821230425
ABT,ABBOTT LABORATORIES,2006,16.87414545,0.3375,0.8,19,94,0.275279853,0.783407445,12.75508867,0.082893836,0.98630137,1.137870215,6.819800045
ABT,ABBOTT LABORATORIES,2007,20.04428094,0.23125,0.75,12,160,-1.62712411,0.105514215,1.149649793,0.126894317,0.991780822,-0.184470257,3.113383935
ABT,ABBOTT LABORATORIES,2008,19.40325442,0.3,0.7625,15,157,1.450192768,0.148899985,21.83971473,0.210678154,0.997260274,0.873356521,47.92283603
ABT,ABBOTT LABORATORIES,2009,20.39894112,0.25,0.7375,16,158,-2.772347505,0.006277417,-18.39918577,0.163351202,0.994520548,-1.346825639,-39.38260197
ABT,ABBOTT LABORATORIES,2010,18.55310819,0.23125,0.78125,10,181,0.856323398,0.393282638,0.493071019,0.100541089,0.989041096,-0.298531238,-20.49565998
ABT,ABBOTT LABORATORIES,2011,22.66114964,0.25,0.76875,12,107,-0.420513793,0.674547223,8.395858977,0.082908073,0.989041096,0.601737288,-10.33687461
ABT,ABBOTT LABORATORIES,2012,26.97930024,0.3,0.7,16,152,3.369067415,0.000912142,29.23514858,0.102392948,0.994520548,2.529102284,17.42160517
ABT,ABBOTT LABORATORIES,2013,33.84749087,0.2125,0.6875,11,214,1.233148633,0.221423822,30.89609408,0.134154744,0.994520548,2.054815186,0.655075114
ABT,ABBOTT LABORATORIES,2014,40.97644354,0.25625,0.60625,26,174,1.74638182,0.082764753,25.20995952,0.104030063,0.994520548,2.100244551,15.11336207
ABT,ABBOTT LABORATORIES,2015,41.53512642,0.25,0.7625,14,140,-2.697229254,0.007739112,-14.57893665,0.15442859,0.994520548,-1.175900227,-10.48247467
ABT,ABBOTT LABORATORIES,2016,36.31367035,0.35625,0.7375,20,88,1.709976133,0.089073128,11.39738677,0.109762553,0.989041096,0.731002824,-8.811494765
ABT,ABBOTT LABORATORIES,2017,55.42443203,0.2125,0.56875,23,168,3.378963933,0.000909111,63.85966067,0.094402162,0.98630137,6.487838777,46.28484007
ABT,ABBOTT LABORATORIES,2018,70.85981266,0.33125,0.66875,24,130,0.698844677,0.48533266,24.64059371,0.128362509,0.994520548,1.657520934,19.44905464
ABT,ABBOTT LABORATORIES,2019,82.0925,0.425,0.65,17,118,0.818517712,0.414280038,18.60285866,0.121325776,0.789041096,1.654762926,1.614607187
ACN,ACCENTURE PLC,2004,20.38573347,0.31875,0.78125,19,71,0.121819007,0.903277025,2.668662043,0.10542657,0.997260274,-0.078159279,6.317075229
ACN,ACCENTURE PLC,2005,21.90627475,0.28125,0.79375,12,98,2.186940967,0.030082742,21.50229495,0.134384759,0.989041096,1.357337519,21.78963673
ACN,ACCENTURE PLC,2006,28.61347522,0.2375,0.69375,11,180,1.301465553,0.195237373,26.94617432,0.167617931,0.98630137,1.42111447,20.44762485
ACN,ACCENTURE PLC,2007,28.39818039,0.25625,0.71875,11,115,0.76181237,0.446970215,3.588068172,0.13356041,0.991780822,0.008820244,6.11514494
ACN,ACCENTURE PLC,2008,25.78749436,0.24375,0.80625,8,123,1.065006053,0.288235273,24.8041786,0.165008063,0.997260274,1.295228943,21.23116546
ACN,ACCENTURE PLC,2009,33.63802274,0.21875,0.66875,14,100,2.100899141,0.037153162,28.18456192,0.124793965,0.994520548,1.990468751,11.66458383
ACN,ACCENTURE PLC,2010,39.85173315,0.31875,0.775,12,74,0.72961171,0.46746681,19.58877531,0.091237043,0.989041096,1.787193549,0.144502535
ACN,ACCENTURE PLC,2011,44.89314865,0.2875,0.59375,16,218,0.534410373,0.59488648,11.96075326,0.259110455,0.989041096,0.331645528,12.02757892
ACN,ACCENTURE PLC,2012,56.67596229,0.51875,0.55,47,136,1.537302619,0.125817011,19.05966869,0.129944021,0.994520548,1.205494527,2.056582401
ACN,ACCENTURE PLC,2013,72.10486324,0.20625,0.70625,10,158,-0.129772836,0.896930136,13.8880235,0.101543528,0.994520548,1.030547367,2.3786717
ACN,ACCENTURE PLC,2014,81.0506208,0.14375,0.7625,4,216,0.619093873,0.538282519,1.277598865,0.117018486,0.994520548,-0.18931727,-9.229124384
ACN,ACCENTURE PLC,2015,97.90983282,0.225,0.7625,14,98,-0.995468151,0.320877885,-0.524590603,0.120991866,0.994520548,-0.332872039,6.973901961
