date,pe1,sd1,pe3,sd3,pe5,sd5,log_ret,shift_ret,proj,ds1,ds3,ds5,shp1,shp3,shp5,symbol,hsi1,hsi3,hsi5,HSC,trade
2019-01-02,130.94525874132938,2.0618204754122478,130.51193354495976,2.185920093948878,132.58236302280977,3.2205743584205946,-4.3570906210099736e-05,-0.01486513171886017,0.048567898145786485,2,2,3,23322,11132,31123,V,0.39931722385561913,0.2140653660883958,0.5,0.44965861192780954,0
2019-01-03,129.01313642716383,1.866178555311676,131.79408703338333,2.9977225087803174,133.9533512279432,3.6031012931538475,-0.01486513171886017,0.01968108121994394,0.05858248408551756,1,2,3,33221,11232,21123,V,0.12959871316282592,0.6551812301801129,0.5,0.5775906150900565,0
2019-01-04,131.57740546638607,2.2421685368664077,134.31780664851854,2.629372132634379,135.5540108906607,2.611861240662298,0.01968108121994394,0.024135453207469126,0.0349258777524683,3,3,3,32213,11223,21133,V,0.5641028350125544,0.6551812301801131,0.6505287260830197,0.6528549781315665,0
2019-01-07,134.79171920660005,1.4438574382098135,136.3920714153887,1.639372862660407,136.6995287434939,1.4152830094961508,0.024135453207469126,0.013211205432047457,0.01838724249967778,3,3,3,22133,11323,11133,V,0.4211107161964773,0.5,0.5,0.5,0
2019-01-08,136.58429527256942,1.0373032412759176,137.13364326010583,1.0769339137833507,137.05539418992004,0.9172729283046881,0.013211205432047457,0.008862836461196011,-0.00031599134567850747,3,3,3,21333,12323,11133,V,0.5641028350125544,0.7817914478228472,0.5,0.5320514175062772,0
2019-01-09,137.80019976699663,0.7653320913630283,137.37387641276666,0.8793761072236532,136.97310750434457,0.9836041301162418,0.008862836461196011,-0.005703928021805638,-0.003177811512326498,3,3,3,13333,12233,11233,V,0.5,0.40334114098635265,0.5,0.5,0
2019-01-10,137.01643474075144,1.2560765670315228,136.9641586366781,0.8417861927483835,136.8671009978653,0.9230374197519541,-0.005703928021805638,0.002103810094512326,0.003241411811144639,2,2,3,33332,13232,11233,V,0.6078235402885376,0.2140653660883957,0.5,0.5539117701442688,0
2019-01-11,137.30499473055193,0.5029571588674402,136.68296767132495,0.8601094560385042,136.77204121317658,0.8122725913174297,0.002103810094512326,-0.005359724389735199,-0.0016523270558980758,2,2,3,33322,23232,11333,V,0.47625801401615464,0.0,0.5,0.4881290070080773,0
2019-01-14,136.57104643873086,0.6347714190001085,136.67135850600772,0.9234270813508476,136.7835016082214,0.8754826987741023,-0.005359724389735199,-0.0029198443289759624,0.0014165576761601302,1,2,2,33221,22332,11332,V,0.12959871316282592,0.3909561729940436,0.7288300473006776,0.26027744307843476,0
2019-01-15,136.17286184469202,1.0849517884228481,136.66138829886665,0.9107222060194616,136.96140460660345,0.9642831525744755,-0.0029198443289759624,0.008025885931898458,0.015111860195147481,2,2,2,32212,32322,11332,V,0.11947497935652361,0.3745167967986425,0.7288300473006776,0.24699588807758308,0
2019-01-16,137.27016723460028,0.8507241239199295,137.0578665858947,0.811697300128165,137.14245663223477,0.9363778386066042,0.008025885931898458,-0.005325077028553338,-0.010621812836232423,3,2,2,22123,32322,12332,V,0.34354295263587864,0.3745167967986425,0.6183333517192724,0.35902987471726056,0
2019-01-17,136.5411358173077,0.5556036818550685,137.12133131790833,0.8938673577962181,137.04132462589567,0.933892839489042,-0.005325077028553338,0.005996006264741283,-0.01158955282394816,1,2,2,21231,23322,12332,V,0.08727529575886293,0.4587307392731111,0.6183333517192724,0.5385320454961917,0
2019-01-18,137.36229670577617,0.9185236009148267,137.30032670308864,1.0335869723780478,137.37923488148658,1.024118914455207,0.005996006264741283,0.0007151132167004803,-0.008957811943509707,2,2,2,12312,23222,13332,V,0.5641028350125546,0.42668154128101354,0.6135275259760519,0.5888151804943033,0
2019-01-22,137.46056143064104,1.0476595169989487,137.10106353546487,1.0294811216489645,137.06919738237855,1.2648348473440225,0.0007151132167004803,-0.0027860533199088877,-0.025369204188088936,2,2,2,23122,23222,13322,V,0.34273390134002296,0.42668154128101354,0.8055597390521353,0.3847077213105182,0
2019-01-23,137.0781219728487,1.367714949837405,137.35777209033856,1.1309936020453975,136.56882211847255,1.5218424281128937,-0.0027860533199088877,-0.002290475431067307,0.0004392288361007221,2,2,2,31222,33222,13322,V,0.5,0.5072153347886542,0.8055597390521353,0.503607667394327,0
2019-01-24,136.76450720290487,0.7705626446036324,136.93576783613435,1.3706338777526872,136.37956394065426,1.4753309753232158,-0.002290475431067307,0.010663413876399908,0.02245295565159938,2,2,2,12222,32222,23322,V,0.8115147269936,0.5689137724466367,1.0,0.9057573634968,1
2019-01-25,138.23068709526214,0.7976604966951567,136.3338271388698,1.7775739995662887,135.82132177605288,1.7630446398069028,0.010663413876399908,-0.017651554539313885,0.024777586669166834,3,2,2,22223,32222,23322,V,0.6659725401405538,0.5689137724466367,1.0,0.6174431562935953,1
2019-01-28,135.81210921023603,1.3038280976542298,135.63420846836814,1.2321205195243587,135.60285048436396,1.8348740973935447,-0.017651554539313885,-0.006303685205529597,0.03865752554326899,1,1,2,22231,32221,33322,V,0.6082763870137464,0.7356821295110528,0.9798136907406451,0.6719792582623996,1
2019-01-29,134.95868511111112,1.2521502949845364,135.0212708582554,1.3865598241196893,136.40748356588568,2.5301977234216513,-0.006303685205529597,0.008655067041708264,0.03313081925001914,2,1,2,22312,22221,33222,V,0.4755176123544862,0.7510539934031466,0.4997667229007671,0.4876421676276267,1
2019-01-30,136.13183108375725,1.147947664684035,135.74781936682425,2.175855259467046,137.74688852868414,3.108575333940952,0.008655067041708264,-0.01598326308267417,0.019895617293213153,3,2,2,23123,22222,33222,V,0.6609400572803388,0.8576354773531563,0.4997667229007671,0.580353390090553,1
2019-01-31,133.97329637989776,1.0245309509292364,136.98230054485336,3.019845533989911,138.73297617015592,3.2017539475693746,-0.01598326308267417,0.023349629743829148,0.04897185852791786,1,2,2,31231,22212,33222,V,0.5,0.8591037411077866,0.4997667229007671,0.4998833614503836,1
2019-02-01,137.1383306368177,2.831712732220202,139.5431050599219,2.5296221429989147,139.82431227692584,2.0629977429330424,0.023349629743829148,0.01947499089925664,0.030263767036470116,3,3,3,12313,22213,33223,V,0.5,0.7911665302081488,0.9305611834701492,0.8608638568391489,1
2019-02-04,139.83527461784453,1.1885152470125913,140.85108461135465,1.0846939961355617,140.1646977288471,1.311416365395681,0.01947499089925664,0.012934415572212643,0.021274982703914695,3,3,3,23133,22223,33223,V,0.5,0.8185206417052745,0.9305611834701492,0.8745409125877118,1
2019-02-05,141.65570992510348,0.5065451632806698,140.71598537665568,1.134992847872674,140.30448634462476,1.2576484370131509,0.012934415572212643,-0.004198116491974879,0.0065225121601653335,3,3,3,31333,22123,32223,V,0.5,0.8592021510922853,0.8126638446982918,0.8359329978952885,1
2019-02-06,141.06226929111597,0.5885402857010502,139.77750136709588,1.2263536197798701,140.23107498500025,1.1914896189602255,-0.004198116491974879,-0.011638901437174276,0.02164462591609592,1,2,3,13331,22132,32223,V,0.5,0.27332531374067054,0.8126638446982918,0.3866626568703353,1
2019-02-07,139.4299769137476,0.7602945106498263,139.6014841689682,1.0750181342584306,140.58067466012432,1.6145558204507529,-0.011638901437174276,-0.004238469131026434,0.032851063936458175,1,1,3,33311,22231,32223,V,0.5,0.6551812301801129,0.8126638446982918,0.5775906150900565,1
2019-02-08,138.84025789642402,1.0280700730714216,140.22104290671257,1.3096926915392588,141.21061148050418,1.6408994996062234,-0.004238469131026434,0.012126952947728142,0.03666330462988386,2,2,2,33112,21232,32232,V,0.5,0.177932023090906,0.22018350399493966,0.19905776354292282,0
