shp1,shp1,shp1,shp1,shp1,shp3,shp3,shp3,shp3,shp3,shp5,shp5,shp5,shp5,shp5
shape,p_avg,p_std,p_srs,HSI,shape,p_avg,p_std,p_srs,HSI,shape,p_avg,p_std,p_srs,HSI
23221.0,-0.0001467262619519185,0.002480830693318055,-0.0591440046058425,0.0,33222,-0.0004974929029780166,0.005489704333155436,-0.09062289565821878,0.0,32221.0,-0.00044333267388002747,0.005233555214287323,-0.0847096582968597,0.0
12223.0,-0.0001385609087756268,0.0026027824848953362,-0.05323568510996748,0.04791723284464857,21232,-0.0005776722963772233,0.0063883286657104585,-0.09042620168838468,0.001029237432716701,12321.0,-0.00042075502716061315,0.005494396159472328,-0.07657893878569938,0.04745674598861457
23211.0,-0.00010596495990252143,0.002220108635746483,-0.04772962826969595,0.09257206369043491,33322,-0.00031445549861642793,0.003611777356000615,-0.08706392106201975,0.018622990219707314,12332.0,-0.00012023981074503244,0.0016045773756008155,-0.07493550175479075,0.05704903036357807
32111.0,-6.506559477626071e-05,0.0014167071636940376,-0.04592734225088789,0.10718883566361176,22123,-0.0002351445459986575,0.00333351358977997,-0.07053954923704941,0.10508980996376723,23222.0,-0.0002328119758809153,0.003297213308057707,-0.07060870927336457,0.08230331338916312
12332.0,-0.0001076732832928879,0.002630207505656969,-0.04093718197568349,0.14765967885447612,31112,-0.00016101216287225717,0.0023530903596236793,-0.06842583082870103,0.11615023093106708,33332.0,-0.0002537028992013392,0.0036310811268033525,-0.06986979644398315,0.08661614184223544
12221.0,-9.645093454388535e-05,0.0023701703581129247,-0.04069367174968696,0.14963457818198797,23221,-0.00018191691141750674,0.002854377620443836,-0.06373260150113562,0.14070841798849626,21211.0,-0.0001569763104660311,0.0022587746486005277,-0.06949622467353667,0.08879657625449891
13222.0,-0.00010892684085169348,0.0027809101603794677,-0.03916949292487389,0.16199586495675372,23332,-0.0003066654290515765,0.0049014781534951314,-0.06256590755849854,0.14681335897524192,11232.0,-0.00014930175926232411,0.0023676506576982364,-0.06305903228454789,0.12636867595179715
21322.0,-8.1055967547189e-05,0.0020743047399314537,-0.039076209964148054,0.16275240179479353,12321,-0.00031022421236921884,0.004975967086534166,-0.06234450649979974,0.14797188080205806,32122.0,-0.00020518985846851396,0.003281040432311516,-0.06253804630013543,0.12940952608713308
12212.0,-0.00010074338376742837,0.002597365368940646,-0.03878675867943726,0.16509988903145245,23111,-0.00012369109842122263,0.0019958282984193806,-0.06197481943671269,0.14990633646453322,31221.0,-0.00028127910270387194,0.00449962716162743,-0.06251164654320795,0.1295636141179585
23132.0,-5.909594061549609e-05,0.0016227190048531508,-0.0364178520364615,0.1843120273184821,22211,-0.00030377941850469494,0.0052158695423421605,-0.058241375870049905,0.1694422677133951,23212.0,-0.000157203811059702,0.002550238122550364,-0.061642797066530565,0.13463484660364725
