shp1,shp1,shp1,shp1,shp1,shp3,shp3,shp3,shp3,shp3,shp5,shp5,shp5,shp5,shp5
shape,p_avg,p_std,p_srs,HSI,shape,p_avg,p_std,p_srs,HSI,shape,p_avg,p_std,p_srs,HSI
11221.0,-6.508464887547381e-05,0.001061900862631648,-0.06129070157658433,0.0,32121.0,-0.0002602882488420086,0.003493603678371726,-0.07450422910114461,0.0,33321,-0.00013998401192068499,0.0017466721624208824,-0.08014326611049183,0.0
32221.0,-0.00018407605989808183,0.0030056839821847627,-0.06124265258394902,0.00038933210460167025,32322.0,-0.00017043138182498336,0.0027014223907586917,-0.06308949774311964,0.07132462219654492,33322,-0.0002248454632938413,0.0028606195668558665,-0.0786002675430802,0.00878123105740991
21122.0,-0.00015595762898423224,0.0030899818040762625,-0.050472021802359816,0.08766176218260788,22133.0,-9.512505158954238e-05,0.0015133611650423485,-0.06285680760605515,0.07277857985830971,23211,-0.0001964596673947544,0.0025939426256714445,-0.07573786152802846,0.02507123231156124
33221.0,-6.816302552851393e-05,0.0013671631840266453,-0.049857271117962954,0.09264297333053245,32211.0,-6.788608464955349e-05,0.0010981513374691272,-0.06181851474680009,0.0792663230730174,22321,-0.00022069825048750635,0.00305743982855061,-0.07218400454740237,0.04529629275618411
32211.0,-4.08493857428861e-05,0.0008392681593918216,-0.048672626604216396,0.10224192882253247,21232.0,-0.00023170046574617773,0.003883494622134071,-0.05966287797222516,0.09273575776378164,33311,-0.00010651429852809328,0.0015225987627893412,-0.06995559245888475,0.05797822380504056
12323.0,-6.240716536737351e-05,0.0013069529888414476,-0.04775012253707345,0.10971680873708936,12231.0,-6.435097231001278e-05,0.0011048974626685039,-0.05824157850321686,0.10161670681773352,33212,-6.1034581352102395e-05,0.000898963660127766,-0.06789438111817311,0.06970861255796405
12112.0,-2.3717882046363317e-05,0.0005651534399223175,-0.04196715506079805,0.15657512511158872,32331.0,-4.6058712714723913e-05,0.0008317891073011528,-0.05537306549272731,0.11954052826581367,33232,-0.0001842779545414202,0.0027893580330151796,-0.06606464726302037,0.0801216590085608
33322.0,-3.214398911115207e-05,0.0008449193837341066,-0.03804385333082579,0.18836491373652237,33333.0,-0.0001190230826135667,0.0021671019676463804,-0.05492269602008337,0.12235464902587892,33331,-0.00010130456488611732,0.001548605418677018,-0.06541664110452511,0.08380947306396652
22112.0,-3.9448259581588374e-05,0.0010467536193356133,-0.03768628916384989,0.19126219007934775,22111.0,-9.30573686151424e-05,0.0018065516663921498,-0.05151104745373075,0.1436722374500175,33332,-8.256764697953156e-05,0.0012861997834354014,-0.06419504033735399,0.09076162378075787
12213.0,-3.503270739818088e-05,0.000961965229665555,-0.036417852036461494,0.20154010162911282,21132.0,-9.022984799613992e-05,0.0017533426884745668,-0.05146161591185644,0.1439811090246691,32131,-0.0001280287013336571,0.0020605610446325436,-0.06213293300247179,0.10249711165172594
31211.0,-2.39661437928313e-05,0.0006580877908130452,-0.036417852036461494,0.20154010162911282,33331.0,-4.809425806729183e-05,0.0009427960184597124,-0.051012368662593156,0.14678821760405883,21121,-0.00010985283632321269,0.0017749873618084098,-0.06188936253117394,0.10388327534131155
33132.0,-2.0886411438709392e-06,5.735212339760718e-05,-0.03641785203646149,0.20154010162911287,33232.0,-7.219023739750397e-05,0.0014263793453306265,-0.050610826379269176,0.14929724306911157,21311,-6.203346007249503e-05,0.0010589534780993091,-0.05857996725582076,0.12271710006865774
32121.0,-4.1515993901101304e-05,0.0011399901855698564,-0.03641785203646149,0.20154010162911287,33111.0,-3.0615398017322636e-05,0.0006054703728814485,-0.050564650870732454,0.14958576941264218,11111,-0.00020463152609504284,0.0035427213928875935,-0.057761111699571786,0.12737722094882695
23313.0,-3.5018516468513202e-06,9.615755600701745e-05,-0.03641785203646149,0.20154010162911287,12321.0,-0.00010822166983139581,0.0022094805734540006,-0.04898059350764818,0.15948370650953322,22122,-9.38352043028833e-05,0.0016364011443542965,-0.057342421585698355,0.1297599934989942
13221.0,-3.034029567291341e-05,0.0008331160125132246,-0.03641785203646149,0.20154010162911287,31211.0,-5.1885443228274546e-05,0.0010922845320513587,-0.04750176506741461,0.16872412369368459,12231,-7.384054683746958e-05,0.0013145744114120223,-0.056170686266557794,0.13642835910400017
12231.0,-7.521134582853502e-07,2.0652328905404294e-05,-0.03641785203646149,0.20154010162911287,22311.0,-6.756014435917236e-05,0.00142904828251813,-0.047276320321469084,0.17013280873640843,31221,-4.690104601135172e-05,0.0008647752630880832,-0.054234953303208135,0.14744464827990802
23231.0,-4.055119987436891e-05,0.00111349784808201,-0.03641785203646149,0.20154010162911287,21221.0,-2.901261468446033e-05,0.0006163000947275034,-0.04707546685886563,0.1713878358489815,33211,-0.00011822994479622695,0.00218618404377969,-0.054080508515568254,0.1483235961898555
32312.0,-2.3898396670807736e-05,0.0006562275184950695,-0.03641785203646149,0.20154010162911287,11121.0,-5.9478155435202384e-05,0.0012676774130768178,-0.04691899912521212,0.17236552000454775,23111,-8.305421607519384e-05,0.001561914688830129,-0.05317461745455591,0.15347903760606874
21211.0,-1.3752191707558848e-05,0.0003776222632183299,-0.03641785203646148,0.20154010162911293,21331.0,-4.752985426424032e-05,0.0010539450327782347,-0.045097090252373045,0.1837496654527385,13112,-2.822057880211841e-05,0.0005499334389124574,-0.05131635358985831,0.1640544488256126
22133.0,-3.077391176453126e-05,0.000845022702978761,-0.03641785203646148,0.20154010162911293,21121.0,-8.614328014292603e-05,0.00191843091764882,-0.044902987827417334,0.18496250889978696,31113,-3.2571958354247655e-05,0.0006471600749836143,-0.0503306053839498,0.16966435860992976
12221.0,-2.2424606249394914e-05,0.0006157586182442459,-0.03641785203646147,0.20154010162911298,21223.0,-6.774040492309039e-05,0.0015224252006560222,-0.04449506280761816,0.18751141671102856,21111,-0.00014217775541222377,0.0028400329936065965,-0.05006200834014619,0.1711929489487616
32331.0,-7.624139252369104e-07,2.0935170049940978e-05,-0.03641785203646147,0.20154010162911298,22331.0,-9.216807246612985e-05,0.002114173539779075,-0.043595320219437204,0.19313343252229262,21132,-4.512604005829445e-05,0.0009046054032444404,-0.04988477837568321,0.17220156768705155
