shp1,shp1,shp1,shp1,shp1,shp3,shp3,shp3,shp3,shp3,shp5,shp5,shp5,shp5,shp5
shape,p_avg,p_std,p_srs,HSI,shape,p_avg,p_std,p_srs,HSI,shape,p_avg,p_std,p_srs,HSI
32132.0,-0.00010033939328702904,0.0017433138683175498,-0.05755669997845272,0.0,22211,-6.999297504554881e-05,0.0010058659142456324,-0.06958479659591738,0.0,12311.0,-0.00039607588860021876,0.004661087734922674,-0.08497499105898926,0.0
21221.0,-0.00020593744047734061,0.003790436899630145,-0.054330792447022436,0.021294096742643515,12331,-0.00020820510332814724,0.0033001769068478027,-0.06308907346637257,0.040223124179210035,32211.0,-0.00026281495735271446,0.0034746113028473516,-0.07563866413988367,0.04585494331582653
12211.0,-6.884158053883991e-05,0.0013084522796636586,-0.05261298528711787,0.03263327850523894,33312,-3.839384211198962e-05,0.0006327267142685035,-0.060679976435603494,0.05514084882600874,32221.0,-0.000128495234133021,0.0017959974637846347,-0.07154533161881424,0.06595915906927932
13222.0,-9.846893559420476e-05,0.001895006572870328,-0.05196231876127789,0.03692830426572417,33111,-0.00012357627055663322,0.002107889165288247,-0.05862560166427658,0.06786204551031223,23222.0,-0.00011137632178259193,0.0016397429617056394,-0.06792303695375507,0.08374989390308284
23322.0,-0.00020128108410316463,0.004196729817955902,-0.047961411106803735,0.06333814826239387,23311,-0.00011838532476602257,0.0023039452627504303,-0.051383740178225924,0.11270544293240442,22322.0,-0.00011930020977709878,0.0017564121935038837,-0.06792267226242926,0.08375168506787574
21123.0,-2.2817682695154913e-05,0.0004818784063539126,-0.04735153597730754,0.0673639115187468,13233,-2.1051875846847382e-05,0.00042326646146861007,-0.04973669724221373,0.12290434014869504,12332.0,-0.00022728149289849705,0.0033665360348582615,-0.06751197389398093,0.08576881134979311
23221.0,-0.00018975586435320495,0.004086601866258567,-0.046433655776439355,0.07342280490146513,21331,-0.00016224037861655978,0.0032652010668969608,-0.049687714567220424,0.12320765298694154,23322.0,-0.0001259908653368445,0.0019062736762393497,-0.06609274780806722,0.09273927546119232
32212.0,-0.00017523659917621702,0.003952867600067717,-0.04433151243750613,0.08729897561932227,11211,-0.00011258006824681199,0.002320375292961839,-0.04851804300290982,0.1304505486033151,22231.0,-0.00017434956803534028,0.0027750977693170313,-0.06282645965235624,0.10878150058152163
12223.0,-0.00012401440312378835,0.0028598890222872576,-0.04336336205962467,0.0936897005880861,33332,-7.652773619343427e-05,0.0015929635190146912,-0.04804111034555869,0.13340383357546867,31231.0,-0.00017104679555588742,0.0027479217924676067,-0.06224587469146605,0.11163301710427331
33213.0,-4.083131112362004e-05,0.0009825494163430862,-0.04155649623770433,0.10561675529690126,31112,-4.098156739912262e-05,0.0008782300232807219,-0.04666381962897557,0.14193235833232332,31132.0,-0.0001699456482409894,0.002749121136856784,-0.06181817380200906,0.11373365049169734
33221.0,-8.687372791395068e-05,0.0021820571067477793,-0.039812765507054294,0.11712705759472296,11232,-0.00010098815035239713,0.0023195664602645317,-0.043537511031643425,0.16129123438433185,33332.0,-0.00011966375374401838,0.0019590795490041757,-0.06108162060333126,0.1173511978919866
32121.0,-6.163249569464536e-05,0.0016923704240694648,-0.036417852036461494,0.13953675631403328,12121,-0.0001282881795116835,0.003308666352985338,-0.03877338051808453,0.19079190881752184,13332.0,-0.00013683168169196662,0.002298299472184516,-0.05953605409042241,0.12494217724118281
13211.0,-2.143778413761664e-05,0.0005886614102378462,-0.036417852036461494,0.13953675631403328,32212,-0.00011303245921412147,0.0029167976879542613,-0.038752245204019764,0.19092278390952305,21321.0,-0.00017970354447591026,0.0030586766301532314,-0.05875205724735524,0.1287927419343562
21131.0,-2.2430474322038132e-05,0.0006159197500055955,-0.036417852036461494,0.13953675631403328,33321,-4.550253133475874e-05,0.0011769029463812044,-0.03866294283200839,0.19147576628381388,22321.0,-0.00017505740069272344,0.002983039593624837,-0.058684236396608684,0.12912584094572974
23231.0,-4.11743793682589e-05,0.0011306097714668944,-0.036417852036461494,0.13953675631403328,32111,-4.735444389785583e-05,0.0012364238190984576,-0.03829952413273992,0.19372614475256908,11232.0,-7.21291789659418e-05,0.0012818544071113826,-0.05626940046060501,0.1409861973708963
33211.0,-6.580327955007042e-05,0.0018068962300189558,-0.036417852036461494,0.13953675631403328,32131,-8.725225088829427e-06,0.00023204206712859135,-0.037601910708691226,0.19804593961220016,12232.0,-0.00023370321158347539,0.004156430317706713,-0.05622690475235004,0.1411949131014059
22123.0,-2.3770080743094798e-05,0.0006527040836811636,-0.036417852036461494,0.13953675631403328,23111,-5.578973663169782e-05,0.0015319337498499697,-0.0364178520364615,0.20537792375911443,13211.0,-5.042901244790146e-05,0.0009047094525510035,-0.05574056102288651,0.14358356811957165
31232.0,-9.403526238628267e-06,0.00025821199529322793,-0.036417852036461494,0.13953675631403328,11322,-4.216028254988276e-07,1.1576817465146477e-05,-0.036417852036461494,0.20537792375911448,22111.0,-0.0003463155613330768,0.0065807775437330554,-0.05262532565971278,0.15888390434724464
32211.0,-6.557542034995617e-05,0.0018006394304722357,-0.036417852036461494,0.13953675631403328,13231,-6.580327955007042e-05,0.0018068962300189558,-0.036417852036461494,0.20537792375911448,13222.0,-2.5035227226529727e-05,0.00048577349180210593,-0.05153683280175477,0.16422998731261365
12231.0,-8.23099844363382e-06,0.00022601548370818132,-0.036417852036461494,0.13953675631403328,13121,-2.9551381311676416e-05,0.0008114531653895902,-0.036417852036461494,0.20537792375911448,32231.0,-5.600441367751738e-05,0.0010904252393696742,-0.05136015900539043,0.16509771259557268
33321.0,-1.0312349259982357e-05,0.00028316742156175634,-0.03641785203646149,0.13953675631403334,13211,-1.630400853266163e-05,0.0004476927556391322,-0.036417852036461494,0.20537792375911448,23231.0,-8.29174762800154e-05,0.0016230375353600698,-0.05108783652475432,0.1664352120234944
12321.0,-2.195572626123435e-05,0.000602883614312352,-0.03641785203646149,0.13953675631403334,13312,-8.818020032429124e-05,0.0024213454499185006,-0.036417852036461494,0.20537792375911448,32311.0,-5.157666205940178e-05,0.0010117933110348949,-0.05097549222444207,0.1669869859242275
31322.0,-4.110348355012304e-06,0.00011286630389120781,-0.03641785203646149,0.13953675631403334,11331,-4.1751096243551866e-05,0.001146445874999732,-0.03641785203646149,0.2053779237591145,31111.0,-0.00011258006824681199,0.002320375292961839,-0.04851804300290982,0.17905663555531376
23213.0,-4.813248540907308e-05,0.0013216728257581726,-0.03641785203646149,0.13953675631403334,31122,-3.241178348395139e-05,0.0008899971215079013,-0.03641785203646149,0.2053779237591145,31331.0,-8.457145041420366e-05,0.0018409640982249992,-0.04593867446722336,0.19172508633037078
21321.0,-3.595726861776008e-05,0.0009873528120702927,-0.03641785203646149,0.13953675631403334,11223,-1.1522736991853037e-05,0.0003164035314415714,-0.03641785203646149,0.2053779237591145,13221.0,-4.8030785792420633e-05,0.0010464118789321045,-0.045900459235456624,0.19191277869607823
21211.0,-7.828641051170489e-05,0.0021496712775186375,-0.03641785203646149,0.13953675631403334,21132,-7.118092609615269e-05,0.0019545613515285437,-0.03641785203646149,0.2053779237591145,23331.0,-0.00017514160732992604,0.0038716200498424918,-0.04523729216069415,0.1951698934999661
11212.0,-2.8088089269283185e-05,0.0007712725407627403,-0.03641785203646149,0.13953675631403334,21111,-1.000003745033942e-05,0.0002745916327060531,-0.03641785203646149,0.2053779237591145,11221.0,-0.00020385823276680614,0.004744021850194847,-0.042971604938630975,0.2062977128275537
31233.0,-1.3379649818362888e-05,0.00036739261296814566,-0.03641785203646148,0.13953675631403337,23331,-7.779252276575152e-06,0.00021361095840541556,-0.03641785203646148,0.20537792375911457,13322.0,-1.9434476992921416e-05,0.0004853866834948706,-0.040039163936245056,0.22070026289959996
11312.0,-1.6899067933333982e-05,0.0004640325276849022,-0.03641785203646147,0.13953675631403342,33323,-6.264340808271072e-05,0.0017752846391804974,-0.03528640236059724,0.21238413998896233,22132.0,-6.008791304527919e-05,0.001507285326063913,-0.03986498906759164,0.2215557148132214
21121.0,-5.502323125645742e-05,0.0015321062795269058,-0.03591345586903271,0.14286625682860166,11233,-6.930707948131898e-05,0.0019656903656434382,-0.03525839099212982,0.21255759331045163,13223.0,-1.4831210462518695e-05,0.0004072511044218014,-0.0364178520364615,0.23848617092663066
12122.0,-9.64128324129529e-05,0.0027503774587480175,-0.03505440029923761,0.1485368509892511,12321,-4.478925689444465e-05,0.0012792945031435408,-0.03501090388834349,0.2140900946670863,23221.0,-2.143778413761664e-05,0.0005886614102378462,-0.036417852036461494,0.23848617092663071
12332.0,-8.258974994355912e-05,0.002362881531308044,-0.03495297959260746,0.14920632533643804,22232,-4.4191314557404725e-05,0.0012859319625458804,-0.03436520426004112,0.21808842646382595,31223.0,-8.585148595098687e-06,0.00023574011412049372,-0.036417852036461494,0.23848617092663071
22121.0,-9.44550480653704e-05,0.0032406358165478683,-0.029147072800667227,0.18753090212662626,23312,-0.00011848567551121283,0.0036323347694628997,-0.03261970138526986,0.22889701197261328,11113.0,-2.561924309617084e-05,0.0007034803444893153,-0.036417852036461494,0.23848617092663071
21233.0,-3.062806768146851e-05,0.0010897472764827432,-0.028105661140373148,0.1944052221209712,31223,-1.584497121143794e-05,0.00048802410075757713,-0.03246759983132232,0.22983886241332183,11132.0,-4.216028254988276e-07,1.1576817465146477e-05,-0.036417852036461494,0.23848617092663071
