shp1,shp1,shp1,shp1,shp1,shp3,shp3,shp3,shp3,shp3,shp5,shp5,shp5,shp5,shp5
shape,p_avg,p_std,p_srs,HSI,shape,p_avg,p_std,p_srs,HSI,shape,p_avg,p_std,p_srs,HSI
12221.0,-3.341708105660222e-05,0.0005951793576480462,-0.056146236638070876,0.0,33221,-0.00012358700980323717,0.0013915627144083797,-0.0888116708816677,0.0,23321.0,-0.00022239499529508628,0.0022509119575400394,-0.09880217418105315,0.0
22232.0,-0.0002003012837628324,0.003982984500540192,-0.05028924509640109,0.04303315086120839,32211,-6.152008682394907e-05,0.0008493550021786429,-0.07243153530166611,0.08359587420220457,33231.0,-0.0001762637451964153,0.0023246393516141916,-0.07582412518054495,0.1121628382754282
12211.0,-6.019030834664879e-05,0.0012055358184525522,-0.049928262126553956,0.04568540577556842,21232,-8.638194473684126e-05,0.001534725948001067,-0.056284931423327446,0.16599992147116474,12132.0,-9.328075003419305e-05,0.0013054239228456226,-0.07145628971687253,0.13348357019286533
22211.0,-4.6426137629246554e-05,0.0010325707297946516,-0.04496170217654665,0.08217627691125867,32322,-0.00010389294875850886,0.001886494233561062,-0.05507196730858497,0.17219027289118582,32332.0,-0.00015435940795597457,0.0022622951999316083,-0.0682313289444459,0.1492255835184652
21213.0,-7.474136189084124e-05,0.001676824704595726,-0.04457315167530347,0.08503107911102914,31111,-3.377176138166181e-05,0.0006559420799393366,-0.051485889401675713,0.19049178914672232,32221.0,-0.00019145548518633825,0.003248665071393262,-0.05893358686687524,0.19461068740392287
21321.0,-9.659555155304151e-05,0.0022290953015618935,-0.04333397117896147,0.094135726243258,12232,-4.516826755569085e-05,0.0008773236363273992,-0.05148415668449514,0.19050063205322626,32311.0,-0.00020623378754378212,0.003559098977002205,-0.05794550499337078,0.19943381522379616
13212.0,-0.00010004066951344838,0.0023455973795778406,-0.04265040129412732,0.09915812823393265,31231,-7.352043695495434e-05,0.0014645477765125462,-0.050200094618985294,0.1970538312237653,21233.0,-5.241395539811463e-05,0.0009423722388579313,-0.05561916325297903,0.210789396038998
12312.0,-5.813718922616909e-06,0.00015963925925110083,-0.03641785203646151,0.14495061923325916,12221,-3.4957887841466474e-05,0.0006979417827672674,-0.05008711142476961,0.19763043993646418,33321.0,-3.2928954604901366e-05,0.000598657338248978,-0.05500467880543445,0.21378888131780405
32312.0,-1.6293328986921738e-05,0.00044739950534723684,-0.0364178520364615,0.14495061923325922,23232,-0.00016742951817383248,0.0035132183892708675,-0.04765701975292824,0.21003239086702272,13212.0,-2.605165919298674e-05,0.00047494128270077717,-0.05485237889796121,0.21453230343736282
31132.0,-1.0744189474513606e-05,0.00029502534811104566,-0.036417852036461494,0.14495061923325928,12312,-4.645047094869926e-05,0.0009817499121943921,-0.04731395477782513,0.21178321987340262,33211.0,-5.8004397808488884e-05,0.0010641900932303735,-0.054505673542228905,0.21622467761340222
33113.0,-6.521191697565608e-06,0.00017906579693488246,-0.03641785203646149,0.1449506192332593,11322,-3.705560656177091e-05,0.0007850702731910773,-0.04720036896971131,0.21236290402069571,23232.0,-0.00013061079717641207,0.0024305488755878043,-0.05373716138286877,0.2199760189496969
12331.0,-3.892564912722015e-06,0.0001068861751875093,-0.03641785203646149,0.1449506192332593,13312,-7.765393153063724e-05,0.0016703027612994528,-0.04649093166212841,0.21598351092162135,22331.0,-3.6408525934011797e-05,0.0006933256367665457,-0.05251287995610518,0.225952108550283
13222.0,-2.7763070075703102e-05,0.0007623478190835299,-0.03641785203646149,0.1449506192332593,12211,-1.5539085331319096e-05,0.00034476672744289557,-0.04507130211366718,0.22322857751873712,23113.0,-4.523145518918739e-05,0.0008873264783425144,-0.05097498642627874,0.23345903410636198
23231.0,-6.611718770339284e-06,0.000181551585297223,-0.03641785203646149,0.1449506192332593,12322,-7.193155527299607e-05,0.0017563608358380693,-0.04095488455746227,0.24423667739138902,33132.0,-6.609305396411453e-05,0.0013061350964249836,-0.050602004451926544,0.23527967244114795
